"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
NE,"1/15/2021 9 a.m. EST",14697,14730,11653,-3044
NE,"1/15/2021 10 a.m. EST",14402,14530,11371,-3031
NE,"1/15/2021 11 a.m. EST",14098,14370,11183,-2915
NE,"1/15/2021 12 p.m. EST",14174,14340,11310,-2864
NE,"1/15/2021 1 p.m. EST",14322,14200,11508,-2814
NE,"1/15/2021 2 p.m. EST",14310,14320,11479,-2831
NE,"1/15/2021 3 p.m. EST",14411,14450,11585,-2826
NE,"1/15/2021 4 p.m. EST",14592,14820,11892,-2700
NE,"1/15/2021 5 p.m. EST",15299,15620,12382,-2917
NE,"1/15/2021 6 p.m. EST",15982,16400,12892,-3090
NE,"1/15/2021 7 p.m. EST",15740,15870,12894,-2846
NE,"1/15/2021 8 p.m. EST",15167,15270,12126,-3041
NE,"1/15/2021 9 p.m. EST",14551,14570,11536,-3015
NE,"1/15/2021 10 p.m. EST",13787,13800,10991,-2796
NE,"1/15/2021 11 p.m. EST",12860,12840,9734,-3126
NE,"1/16/2021 12 a.m. EST",12325,11970,9180,-3145
NE,"1/16/2021 1 a.m. EST",11335,11230,8660,-2675
NE,"1/16/2021 2 a.m. EST",11084,10810,8317,-2767
NE,"1/16/2021 3 a.m. EST",10892,10600,8285,-2607
NE,"1/16/2021 4 a.m. EST",10818,10510,8267,-2551
NE,"1/16/2021 5 a.m. EST",11140,10620,8543,-2597
NE,"1/16/2021 6 a.m. EST",11281,10830,8605,-2676
NE,"1/16/2021 7 a.m. EST",11580,11410,8818,-2762
NE,"1/16/2021 8 a.m. EST",12304,12090,9489,-2815
NE,"1/16/2021 9 a.m. EST",13157,12910,10193,-2964
NE,"1/16/2021 10 a.m. EST",13847,13440,10595,-3252
NE,"1/16/2021 11 a.m. EST",14262,13670,10962,-3300
NE,"1/16/2021 12 p.m. EST",14282,13700,10991,-3291
NE,"1/16/2021 1 p.m. EST",13962,13660,10678,-3284
NE,"1/16/2021 2 p.m. EST",13585,13590,10273,-3312
NE,"1/16/2021 3 p.m. EST",13380,13540,10033,-3347
NE,"1/16/2021 4 p.m. EST",13669,13700,10325,-3344
NE,"1/16/2021 5 p.m. EST",14374,14550,11028,-3346
NE,"1/16/2021 6 p.m. EST",15075,15250,11900,-3175
NE,"1/16/2021 7 p.m. EST",14962,14780,11739,-3223
NE,"1/16/2021 8 p.m. EST",14337,14210,11389,-2948
NE,"1/16/2021 9 p.m. EST",13742,13670,10798,-2944
NE,"1/16/2021 10 p.m. EST",13075,13050,10187,-2888
NE,"1/16/2021 11 p.m. EST",12354,12320,9745,-2609
NE,"1/17/2021 12 a.m. EST",11604,11610,8905,-2699
NE,"1/17/2021 1 a.m. EST",11036,11020,,
NE,"1/17/2021 2 a.m. EST",10677,10630,,
NE,"1/17/2021 3 a.m. EST",10514,10430,,
NE,"1/17/2021 4 a.m. EST",10434,10360,,
NE,"1/17/2021 5 a.m. EST",10539,10480,,
NE,"1/17/2021 6 a.m. EST",10834,10680,,
NE,"1/17/2021 7 a.m. EST",11300,11160,,
NE,"1/17/2021 8 a.m. EST",11851,11590,,
NE,"1/17/2021 9 a.m. EST",12172,11990,,
NE,"1/17/2021 10 a.m. EST",12138,12080,,
NE,"1/17/2021 11 a.m. EST",12275,12050,,
NE,"1/17/2021 12 p.m. EST",12264,12170,,
NE,"1/17/2021 1 p.m. EST",12613,12440,,
NE,"1/17/2021 2 p.m. EST",12613,12620,,
NE,"1/17/2021 3 p.m. EST",13148,12910,,
NE,"1/17/2021 4 p.m. EST",,13580,,
NE,"1/17/2021 5 p.m. EST",,14600,,
NE,"1/17/2021 6 p.m. EST",,15800,,
NE,"1/17/2021 7 p.m. EST",,15350,,
NE,"1/17/2021 8 p.m. EST",,14790,,
NE,"1/17/2021 9 p.m. EST",,14150,,
NE,"1/17/2021 10 p.m. EST",,13300,,
NE,"1/17/2021 11 p.m. EST",,12350,,
NE,"1/18/2021 12 a.m. EST",,11540,,
